Pays,Production_MT,Importation_MT,Exportation_MT,Disponibilité_interieure_MT,Nourriture_MT,Distance_France,PIB_millions$,Political_Stability,Population_1000hab,Easy_Doing_Business_Score,Score_Starting_Business_Score
Jamaïque,128,31,1,152,149,7734.696,14808.98527,0.31,2920.848,67.228872921841,95.609884570898
Japon,2215,1069,10,2415,2359,9725.629,4930837.369,1.11,127502.725,78.276793142719,86.092566870243
Jordanie,210,64,10,275,275,3371.398,41408.4507,-0.5,9785.843,56.271972290492,83.122358041132
Kazakhstan,171,174,6,331,330,5561.785,166805.789,0.04,18080.019,74.348785648248,91.944763877037
Kenya,35,0,0,35,34,6491.402,82064.79841,-1.13,50221.142,62.795761024145,79.30620415163
Kiribati,1,1,0,2,2,14371.47,188.197759,0.88,114.158,46.745746304628,78.169359380276
Koweït,56,137,4,189,188,4415.222,120687.7507,-0.05,4056.099,59.969408342054,66.769887184138
Lettonie,33,43,20,41,41,1704.598,30483.80602,0.46,1951.097,80.624336664215,94.112781067135
Liban,64,13,4,73,73,3197.032,53324.80096,-1.63,6819.373,54.358201709914,78.452046843303
Lesotho,2,15,0,17,17,9054.14,2304.459267,-0.19,2091.534,58.090760581729,82.958820354799
Libéria,15,48,0,50,50,4892.298,2763,-0.36,4702.226,40.774674020412,90.643041689166
Lituanie,118,44,68,82,80,1700.296,47758.73693,0.78,2845.414,79.221080207652,92.984744091709
Luxembourg,0,11,1,11,11,289.1023,65712.18034,1.33,591.91,69.131634420352,88.659784547846
Madagascar,81,0,0,82,73,8763.332,13176.31359,-0.3,25570.512,42.566108224797,78.25902482799
Malawi,130,0,0,98,91,7650.657,8943.543794,-0.25,17670.196,53.131773090708,76.727132631872
Malaisie,1724,68,44,1621,1220,10436.4,319109.1032,0.12,31104.646,78.249676436961,80.004176956462
Maldives,0,12,0,12,7,8294.178,4754.185598,0.23,496.402,52.003272248706,88.960823088751
Mali,48,1,0,52,52,4139.756,15365.71306,-1.91,18512.43,52.08351706044,82.397904944965
Malte,4,9,0,14,12,1752.693,13510.30906,1.25,437.933,64.778457220836,80.209470808481
Mauritanie,5,24,0,22,22,3794.96,6800.135962,-0.63,4282.57,46.243415012334,86.866023741008
Maurice,48,2,0,49,48,9422.744,13259.34821,0.97,1264.499,75.779044745656,87.415086172862
Mexique,3249,972,9,4219,4058,9206.813,1158912.015,-0.72,124777.324,72.373071436083,85.740001623039
Mongolie,0,10,0,9,9,7053.423,11425.7551,0.79,3113.786,66.225933490603,86.632991250437
Maroc,762,3,1,746,746,1816.853,109682.7519,-0.37,35581.255,69.045057984001,90.746121589534
Mozambique,92,24,0,116,103,8855.655,13219.07958,-0.93,28649.018,52.061563254712,73.542230725783
Myanmar,1662,3,0,1666,1621,8892.726,68209.18234,-1.08,53382.523,43.070526136069,75.292966473173
Namibie,11,29,12,28,28,8084.97,12887.50127,0.63,2402.633,60.082952910694,68.874603396191
Népal,58,0,0,58,55,7244.016,29443.01418,-0.69,27632.681,58.027714430663,83.767471815473
Pays-Bas,1100,608,1418,372,346,427.9169,833869.6417,0.92,17021.347,75.290318008981,93.015997219438
Nouvelle-Zélande,223,1,23,168,164,19263.88,206623.7588,1.59,4702.034,86.792397948047,98.36549695272
Nicaragua,143,6,0,138,138,8906.699,13785.89285,-0.05,6384.846,54.502613065187,79.282350661013
Niger,19,3,0,21,20,3932.638,11185.10596,-1.27,21602.382,49.567444434881,84.436502694125
Nigéria,201,0,0,202,192,4722.149,375769.7194,-2,190873.244,48.262664354083,78.98505880115
Norvège,101,2,0,102,101,1342.89,398393.9553,1.17,5296.326,82.085586235478,92.669612151938
