Country,Production_MT,Importation_MT,PIB_US_$_M,Political_stability,inflation_moy,pop_2017,part_protein_Volaille/total,distance_France,Ease_of_doing_business_score
Lebanon,64,13,53324.80096,-1.63,3.6714715,6819373,9.25,3197.032,54.358201709914
Lesotho,2,15,2304.459267,-0.19,5.72619075,2091534,4.39,9054.14,58.090760581729
Liberia,15,48,2763,-0.36,6.45144983333333,4702226,10.81,4892.298,40.774674020412
Lithuania,118,44,47758.73693,0.78,3.56652383333333,2845414,7.67,1700.296,79.221080207652
Luxembourg,0,11,65712.18034,1.33,2.81744216666667,591910,6.56,289.1023,69.131634420352
Madagascar,81,0,13176.31359,-0.3,9.30073166666667,25570512,2.57,8763.332,42.566108224797
Malaysia,1724,68,319109.1032,0.12,4.17487958333333,31104646,16.49,10436.4,78.249676436961
Maldives,0,12,4754.185598,0.23,5.68314858333333,496402,5.6,8294.178,52.003272248706
Mali,48,1,15365.71306,-1.91,2.19618133333333,18512430,1.24,4139.756,52.08351706044
Malta,4,9,13510.30906,1.25,3.4822555,437933,10.91,1752.693,64.778457220836
Mauritania,5,24,6800.135962,-0.63,3.09906958333333,4282570,1.97,3794.96,46.243415012334
Mauritius,48,2,13259.34821,0.97,3.821098,1264499,15.04,9422.744,75.779044745656
Mexico,3249,972,1158912.015,-0.72,6.96662383333333,124777324,10.61,9206.813,72.373071436083
Mongolia,0,10,11425.7551,0.79,4.51716766666667,3113786,1.03,7053.423,66.225933490603
Morocco,762,3,109682.7519,-0.37,0.0189929166666667,35581255,7.11,1816.853,69.045057984001
Mozambique,92,24,13219.07958,-0.93,16.947021,28649018,3.18,8855.655,52.061563254712
Myanmar,1662,3,68209.18234,-1.08,4.48464558333333,53382523,10.63,8892.726,43.070526136069
Namibia,11,29,12887.50127,0.63,5.68697325,2402633,6.38,8084.97,60.082952910694
Nepal,58,0,29443.01418,-0.69,1.32330216666667,27632681,0.95,7244.016,58.027714430663
Netherlands,1100,608,833869.6417,0.92,2.6643255,17021347,6.58,427.9169,75.290318008981
Nicaragua,143,6,13785.89285,-0.05,0.59872625,6384846,10.68,8906.699,54.502613065187
Niger,19,3,11185.10596,-1.27,3.38728225,21602382,0.44,3932.638,49.567444434881
Nigeria,201,0,375769.7194,-2,19.5367225833333,190873244,0.74,4722.149,48.262664354083
Norway,101,2,398393.9553,1.17,0.0294760833333333,5296326,7.45,1342.89,82.085586235478
Oman,7,126,70598.02628,0.75,0.551427583333333,4665928,8.64,5620.005,68.349447371515
Pakistan,1281,2,302709.7234,-2.41,3.29366983333333,207906209,2.47,5932.586,52.503169208388
Panama,198,20,62202.7252,0.39,-0.534680416666667,4106769,12.92,8671.104,64.617184245117
Paraguay,45,1,38997.12981,0,5.78721191666667,6867061,4.02,10168.73,56.966403272098
