Pays,Production_MT,Importation_MT,Disponibilite_interieure_MT,Nourriture_MT,distance_France,PIB_US_$_M,Political_stability,pop_2012,pop_2017,Ease_of_doing_business_score,Score_Starting _a_business,Dispo_alim(Kcal/personne/jour)_Total_General,Dispo_proteines_quantite(g/personne/jour)_Total_General,Dispo_alim_quantite(kg/personne/an)_Viande_Volailles,Disp_alim(Kcal/personne/jour)_Viande_Volailles,Dispo_proteines_quantite(g/personne/jour)_Viande_Volailles,Importation_nb_tete,Importation-tonnes,Importation_$USD,January,February,March,April,May,June,July,August,September,October,November,December,Apport_moyen_proteine(g/capita/day),Apport_moyen_proteine_animal(g/capita/day),pop_evol_12-17,part_protein_Volaille/total,volaille_import/nb_hab,volaille_prod/hab,volaille_nourriture/hab
63,Kazakhstan,171,174,331,330,5561.785,166805.789,0.04,16751525,18080019,74.348785648248,91.944763877037,3255,100.92,18.24,61,6.17,427,527,10008000,9.026635,9.566906,9.675928,9.567014,9.676145,9.676145,8.58484,8.039735,7.823006,8.357842,7.083044,6.451285,91,53.7,7.9305854243121,6.11,0.00000962388369171515,0.00000945795466254764,0.0000182521932084253
64,Kenya,35,0,35,34,6491.402,82064.79841,-1.13,44343467,50221142,62.795761024145,79.30620415163,2147,60.84,2.12,7,0.72,269,14,732000,12.540708,16.504823,18.556088,20.984286,21.519862,15.810845,12.187486,13.572573,11.497822,8.46882,5.786307,4.675321,60.7,14.3,13.2548837464603,1.18,0,0.000000696917644764032,0.000000677005712056488
65,Kiribati,1,1,2,2,14371.47,188.197759,0.88,106370,114158,46.745746304628,78.169359380276,3072,71.16,16.51,58,6.15,17,1,27000,-0.877532,-1.556624,-1.714067,3.434153,3.169823,1.962252,0.408138,-0.077331,-1.249812,-2.637841,-2.042151,-1.544887,74,36.7,7.32161323681489,8.64,0.00000875978906427933,0.00000875978906427933,0.0000175195781285587
66,Kuwait,56,137,189,188,4415.222,120687.7507,-0.05,3348853,4056099,59.969408342054,66.769887184138,3444,100.42,46.25,156,15.87,1326,159,5836000,0.194175,-0.259235,-0.175781,-0.371158,-0.268676,0.423228,-0.315153,-0.88972,-0.821475,-0.296117,-0.231541,-0.626207,100.7,48.7,21.1190518066932,15.8,0.0000337762958941584,0.0000138063691246195,0.000046349953489794
67,Latvia,33,43,41,41,1704.598,30483.80602,0.46,2069016,1951097,80.624336664215,94.112781067135,3216,102.37,20.87,72,7.21,2051,70,1934000,6.23101,6.129822,5.443964,5.283367,5.056804,6.488206,6.569385,6.77,5.510601,5.292322,4.651621,3.754616,102.3,61,-5.69927927091912,7.04,0.0000220388837664145,0.0000169135619602716,0.0000210138194051859
68,Lebanon,64,13,73,73,3197.032,53324.80096,-1.63,5537612,6819373,54.358201709914,78.452046843303,2892,69.54,17.85,63,6.43,1239,74,5989000,-0.281931,1.439517,2.411537,4.438996,5.335914,5.666572,3.509227,4.869656,4.515792,4.253096,4.210867,3.688415,69.3,22,23.1464573538197,9.25,0.0000019063336174748,0.00000938502703987595,0.0000107047964673585
69,Lesotho,2,15,17,17,9054.14,2304.459267,-0.19,2014994,2091534,58.090760581729,82.958820354799,2181,64.07,8.08,28,2.81,1349,1121,1853000,8.539046,6.956547,5.172054,4.834545,4.365966,4.769411,6.155178,5.841446,5.781213,5.437226,5.424665,5.436992,66.3,18.7,3.79852247699001,4.39,0.00000717176961981015,0.00000095623594930802,0.00000812800556911817
70,Liberia,15,48,50,50,4892.298,2763,-0.36,4135659,4702226,40.774674020412,90.643041689166,2215,42.94,13.33,45,4.64,10,0,10000,11.394533,9.869647,4.675248,6.818601,8.889533,7.124051,3.811272,5.441817,5.961096,4.188007,4.634315,4.609278,40.7,10.3,13.6995579180972,10.81,0.0000102079313074276,0.00000318997853357112,0.0000106332617785704
71,Lithuania,118,44,82,80,1700.296,47758.73693,0.78,3045561,2845414,79.221080207652,92.984744091709,3426,126.94,28.2,96,9.74,5142,5220,7609000,3.590707,4.353298,2.883022,1.984738,2.040184,2.571398,2.890127,3.61694,4.669137,5.565112,4.829587,3.804036,125.7,76,-6.57176132738763,7.67,0.000015463479128169,0.0000414702394800897,0.000028115416596671
72,Luxembourg,0,11,11,11,289.1023,65712.18034,1.33,530857,591910,69.131634420352,88.659784547846,3468,109.84,18.37,69,7.21,63,215,418000,2.597403,3.447933,3.374813,2.439265,2.781874,2.398742,2.845927,2.545277,2.554566,3.312303,3.127459,2.383744,109.3,68,11.5008373253061,6.56,0.0000185839063371121,0,0.0000185839063371121
73,Madagascar,81,0,82,73,8763.332,13176.31359,-0.3,22346645,25570512,42.566108224797,78.25902482799,1915,43.25,3.31,16,1.11,465,16,826000,4.873096,6.477733,7.452165,8.643216,8.935743,8.908909,9.090909,9.481038,9.670987,10.228401,13.267327,14.579256,43.3,9,14.4266264577971,2.57,0,0.00000316771130746228,0.00000285485093141663
74,Malawi,130,0,98,91,7650.657,8943.543794,-0.25,15396015,17670196,53.131773090708,76.727132631872,2613,69.74,7.37,25,2.48,260,13,1111000,21.070375,17.54386,17.031119,14.692787,11.191011,9.226468,30.314585,6.21205,5.152154,4.81373,4.678363,4.31602,67.7,8.3,14.7712313868231,3.56,0,0.00000735702082761278,0.00000514991457932894
75,Malaysia,1724,68,1621,1220,10436.4,319109.1032,0.12,29068189,31104646,78.249676436961,80.004176956462,2874,77.97,38.87,140,12.86,2727,0,16352000,4.006541,4.305443,4.065041,4.146341,4.376013,4.274194,4.180064,4.330393,4.581994,4.354839,3.671189,3.806503,77.3,43.7,7.00579248332258,16.49,0.00000218616858716219,0.0000554258035921708,0.0000392224364167334
76,Maldives,0,12,12,7,8294.178,4754.185598,0.23,397237,496402,52.003272248706,88.960823088751,2268,81.56,13.13,45,4.57,12,9,14000,6.975601,6.149942,8.115615,8.283364,10.090051,7.500008,7.381742,6.597027,6.341875,-0.490567,-0.536212,1.789337,85.5,52.8,24.9636866656429,5.6,0.0000241739557858349,0,0.0000141014742084037
77,Mali,48,1,52,52,4139.756,15365.71306,-1.91,15979496,18512430,52.08351706044,82.397904944965,2884,80.41,2.95,10,1,2420,198,4237000,6.682504,6.565286,3.478712,3.782604,0.9737,1.15347,-0.675543,-3.473456,-1.86227,3.471269,3.196574,3.061326,81.7,21.4,15.8511507496857,1.24,0.0000000540177599591194,0.00000259285247803773,0.00000280892351787421
78,Malta,4,9,14,12,1752.693,13510.30906,1.25,421809,437933,64.778457220836,80.209470808481,3438,116.13,27.17,103,12.67,14,0,69000,5.575826,5.680612,4.952648,4.506891,3.057673,3.368626,3.378347,2.3848,2.218703,2.664006,2.671065,1.327869,115,65.7,3.82258320709136,10.91,0.0000205510888651917,0.00000913381727341854,0.0000274014518202556
79,Mauritania,5,24,22,22,3794.96,6800.135962,-0.63,3706555,4282570,46.243415012334,86.866023741008,2854,80.81,5.14,11,1.59,128,26,92000,4.510414,3.864861,3.662209,3.900676,3.967864,3.037551,2.953574,3.442411,2.013268,1.680414,2.360445,1.795148,81.3,29.3,15.5404411913488,1.97,0.0000056041115498404,0.00000116752323955008,0.00000513710225402037
80,Mauritius,48,2,49,48,9422.744,13259.34821,0.97,1253488,1264499,75.779044745656,87.415086172862,3038,86.89,37.94,128,13.07,434,0,1025000,1.179673,-1.959114,-2.962963,2.040816,10.752688,11.330935,7.497742,5.031447,1.519214,2.631579,3.351449,5.43971,86.3,39.7,0.878428832186666,15.04,0.00000158165407801825,0.000037959697872438,0.000037959697872438
81,Mexico,3249,972,4219,4058,9206.813,1158912.015,-0.72,117274155,124777324,72.373071436083,85.740001623039,3170,90.49,33.77,128,9.6,2495,0,25837000,3.241285,2.39518,4.230493,5.999952,7.006379,7.955949,9.745195,10.572859,8.710279,7.562729,7.885398,8.293788,90.3,44,6.39797319366744,10.61,0.00000778987694911617,0.0000260383849873235,0.0000325219348348904
82,Mongolia,0,10,9,9,7053.423,11425.7551,0.79,2824698,3113786,66.225933490603,86.632991250437,2697,92.45,2.77,9,0.95,216,8,309000,2.656421,2.957366,3.748313,1.896236,2.120729,0.671597,1.682713,6.089333,7.519356,8.91773,8.650782,7.295436,85,55,10.2342976134086,1.03,0.00000321152449140692,0,0.00000289037204226623
83,Morocco,762,3,746,746,1816.853,109682.7519,-0.37,33241900,35581255,69.045057984001,90.746121589534,3366,99.78,20.51,69,7.09,3800,191,17181000,2.919708,1.696284,-1.81962,-1.111994,-0.630418,-0.703125,-1.568627,-1.251956,-0.928074,-0.390016,1.336478,2.679275,99.7,27,7.03736850180044,7.11,0.000000084314058062314,0.0000214157707478278,0.0000209660957714954
84,Mozambique,92,24,116,103,8855.655,13219.07958,-0.93,24862664,28649018,52.061563254712,73.542230725783,1931,42.51,4.02,14,1.35,2485,156,3079000,29.949956,27.953676,26.330798,24.052328,22.753623,19.26293,16.157787,13.221396,9.917114,6.86395,5.10251,1.798184,43,7.3,15.2290760153457,3.18,0.000000837725048725928,0.00000321127935344939,0.00000359523666744878
85,Myanmar,1662,3,1666,1621,8892.726,68209.18234,-1.08,51413704,53382523,43.070526136069,75.292966473173,2820,95.96,31.13,117,10.2,5736,31,4984000,9.729769,10.078332,7.976241,4.399947,3.521874,2.296024,0.976697,1.076992,2.524864,3.453842,3.795175,3.98599,89.7,39.7,3.82936619388481,10.63,0.0000000561981680783428,0.0000311337851154019,0.0000303657434849979
87,Nepal,58,0,58,55,7244.016,29443.01418,-0.69,26989163,27632681,58.027714430663,83.767471815473,2901,74.02,2.09,7,0.7,1844,0,7897000,3.832442,4,2.764977,0.549954,0.180343,-0.972591,-0.877193,-1.026518,1.801029,0.512383,2.317597,2.797203,73,13.3,2.3843570102563,0.95,0,0.00000209896390437106,0.00000199039680586911
88,Netherlands,1100,608,372,346,427.9169,833869.6417,0.92,16791840,17021347,75.290318008981,93.015997219438,3270,102.43,16.05,55,6.74,473575,820245,787855000,1.504363,2.10401,1.879885,1.818002,2.447207,2.708292,3.215593,3.5534,3.684892,3.42772,3.130263,2.498279,105,68.3,1.36677695833214,6.58,0.0000357198522537611,0.0000646247326959494,0.0000203274159207259
89,Nicaragua,143,6,138,138,8906.699,13785.89285,-0.05,5982526,6384846,54.502613065187,79.282350661013,2642,64.73,21.59,93,6.91,8036,482,7898000,0.02075,-0.337613,-0.89372,-0.40124,-1.215878,-1.055481,-1.078853,-0.671982,0.783405,1.946501,4.417863,5.670963,63.7,19.3,6.72491853775479,10.68,0.000000939725092821346,0.0000223967813789087,0.000021613677134891
90,Niger,19,3,21,20,3932.638,11185.10596,-1.27,17795210,21602382,49.567444434881,84.436502694125,2586,82.07,1.06,4,0.36,279,10,298000,-3.568922,3.514846,3.902388,7.948068,4.21894,2.303338,4.403688,3.172427,1.521358,2.390791,4.632153,6.208312,82,11,21.3943639889611,0.44,0.000000138873574219732,0.000000879532636724969,0.000000925823828131546
91,Nigeria,201,0,202,192,4722.149,375769.7194,-2,167228794,190873244,48.262664354083,78.98505880115,2606,60.92,1.43,3,0.45,110,5,596000,17.512498,18.380235,18.30342,19.177842,19.145317,19.811828,20.190327,21.80096,20.246348,20.238638,20.244193,19.389065,58,7,14.1389825486632,0.74,0,0.00000105305487446947,0.00000100590316367233
92,Norway,101,2,102,101,1342.89,398393.9553,1.17,5013709,5296326,82.085586235478,92.669612151938,3377,113.75,20.68,71,8.48,25,1,457000,2.022245,0.097752,3.030303,-2.058824,0.685602,0.872939,0.659755,-1.714286,-1.912046,-1.152738,-0.775194,0.598205,112.7,67,5.63688478928474,7.45,0.000000377620259780082,0.0000190698231188941,0.0000190698231188941
93,Oman,7,126,114,101,5620.005,70598.02628,0.75,3498029,4665928,68.349447371515,91.11729772323,2936,85.45,21.63,73,7.38,88,100,3025000,-2.036857,-0.098328,0.395257,-0.098522,0,0.881489,0.675676,1.157184,1.835749,0.771456,1.365854,1.768173,84.4,42,33.3873447018307,8.64,0.0000270042743908607,0.00000150023746615893,0.0000216462834402931
94,Pakistan,1281,2,1282,1218,5932.586,302709.7234,-2.41,187280129,207906209,52.503169208388,75.849405643669,2450,66.03,4.83,16,1.63,1024,0,13629000,1.961146,3.10247,4.640725,3.908119,4.552697,3.053195,0.713785,2.248683,3.504198,3.236969,3.440588,5.161463,65.7,25.7,11.0134909187296,2.47,0.0000000096197223239254,0.00000616143214847422,0.00000585841089527057
95,Panama,198,20,192,139,8671.104,62202.7252,0.39,3770626,4106769,64.617184245117,91.91256141266,2837,79.67,33.72,117,10.29,1533,77,6545000,0.684932,0.488281,0.097466,-0.097371,-0.097466,-0.293255,-1.071081,-1.163919,-1.165049,-1.265823,-1.267057,-1.265823,79.3,42,8.91477966788539,12.92,0.00000487000851520989,0.0000482130843005779,0.0000338465591807087
96,Paraguay,45,1,41,41,10168.73,38997.12981,0,6421513,6867061,56.966403272098,75.248860152164,2752,69.91,9.43,34,2.81,8706,522,6831000,2.613129,2.839117,3.70134,5.749354,5.121639,3.814367,6.487549,6.518905,6.840391,9.270217,8.104659,8.385876,67.7,27.3,6.93836483707189,4.02,0.000000145622705259208,0.00000655302173666435,0.00000597053091562752
97,Peru,1465,60,1523,424,10268.11,211007.9523,-0.26,29506788,31444298,67.396586630297,78.600773332305,2765,87.12,38.05,177,18.96,959,44,12440000,2.639953,3.990614,6.379895,5.636203,4.011194,3.500211,3.665629,4.449022,3.79368,0.733071,-0.932768,-1.673402,76.7,29,6.5663195872082,21.76,0.00000190813609513559,0.0000465903229895608,0.0000134841617389582
98,Poland,2351,55,1156,1150,1368.178,526504.2336,0.52,38227044,37953180,77.649190034668,82.752840150967,3502,105.3,33.53,118,14.05,77514,93885,106814000,3.310295,3.990742,3.211055,2.896344,3.813912,3.652976,4.458124,4.404949,5.034836,5.474226,6.144342,5.387003,104.3,57,-0.716414274669001,13.34,0.00000144915393123844,0.0000619447434971193,0.0000303004912895309
99,Portugal,361,82,325,315,1452.86,221357.8747,1.12,10526308,10288527,76.66432529492,90.999828279438,3410,114.79,30.58,109,12.74,12837,2252,19108000,1.326759,2.373718,2.683858,1.972194,2.074082,0.217431,0.309603,0.367898,1.117849,1.315328,2.427196,2.281703,114.3,72,-2.25892117160167,11.1,0.00000797004274761586,0.0000350876272181625,0.0000306166276280366
100,Russian Federation,4444,226,4556,4509,2494.316,1574199.379,-0.64,143993892,145530082,75.440942964416,93.024531538605,3366,102.65,31.85,106,10.73,7546,462,30095000,3.850232,3.324283,3.066657,3.37474,3.673522,4.90682,3.792866,2.29636,1.650093,1.196767,0.61448,0.704486,101.3,54,1.06684386307164,10.45,0.00000155294353506926,0.0000305366419019815,0.0000309832849541032
101,Rwanda,19,0,19,18,6253.41,9252.814353,0.09,10549673,11980961,68.65868143484,87.17050406203,2224,60.59,1.57,5,0.53,364,36,754000,21.908386,24.462239,23.588806,23.40105,20.721664,14.432634,11.54252,10.459786,10.500703,6.009651,-2.00746,-6.158198,59.3,8,13.5671314172487,0.87,0,0.00000158584941558528,0.00000150238365687026
102,Samoa,0,17,15,13,16011.92,825.065062,1.18,189089,195352,60.043649692029,92.490805467132,3040,89.2,65.04,218,21.96,47,0,149000,-2.211599,2.588474,0.61147,-1.439989,-0.206844,-1.916192,0.052253,2.401414,2.159574,4.629703,4.929292,4.913129,88,52.7,3.31219690198795,24.62,0.0000870224005897047,0,0.0000665465416274213
103,Saudi Arabia,616,722,1435,1435,4694.5,688586.0944,-0.58,29154900,33101179,59.444218160237,75.361753477234,3299,88.57,38.04,132,13.62,306,340,17495000,-3.200586,-2.116959,-1.433391,-0.915409,-0.518954,-0.485895,-0.601397,-0.254106,-0.316224,-0.327662,-0.202025,0.51386,88.3,34.6,13.53556006023,15.38,0.0000218119118959479,0.0000186096090414181,0.0000433519301533036
104,Senegal,77,0,77,73,4217.159,20996.56985,-0.05,13401992,15419355,50.30009116824,86.069911747083,2573,63.86,6.2,21,2.09,161,9,716000,1.149873,0.527859,2.458366,2.29908,5.128723,6,6.78561,2.965235,-0.780619,-1.570681,-1.149842,-3.462122,62,13.7,15.0527100747411,3.27,0,0.00000499372379713678,0.0000047343095739089
105,Sierra Leone,17,14,30,30,4724.351,3739.577962,-0.04,6712584,7488423,47.219182294841,91.152373341825,2323,49.61,3.89,10,1.22,256,10,220000,20.192533,21.499359,22.279582,20.940195,19.737213,19.598662,19.121829,18.047971,18.239932,17.553164,18.867731,17.934375,50.3,11,11.5579782688753,2.46,0.00000186955250791789,0.00000227017090247172,0.00000400618394553833
106,Slovenia,72,20,52,51,965.7366,48589.10004,0.87,2057823,2076394,75.49374523298,94.613076204762,3192,97.47,23.98,81,8.46,7450,2433,5828000,2.829905,3.626164,2.368106,1.780178,2.616565,1.285826,1.485636,1.350952,2.043234,1.701751,2.718254,2.927505,97,52,0.902458569080043,8.68,0.00000963208331366783,0.0000346754999292042,0.000024561812449853
107,South Africa,1667,514,2118,2035,9353.552,349006.6896,-0.28,52832658,57009756,64.861404713609,79.964568382084,2902,79.7,37.01,149,14.63,397,0,7394000,12.513839,10.486462,9.023297,6.65278,6.950283,6.735698,6.391782,5.21469,5.000022,4.863271,4.737889,4.300005,83.7,36,7.9062802405285,18.36,0.00000901600069995037,0.0000292406092739636,0.0000356956447945506
108,Spain,1515,205,1497,1418,1054.656,1312539.279,0.28,47063060,46647428,77.630753760046,86.697865585845,3303,107.23,30.34,104,12.45,64906,9415,48616000,0.976801,1.684738,1.377796,1.120517,1.129266,0.821749,0.145892,0.048552,1.212822,2.343311,2.218949,1.696427,107,66,-0.883138495456946,11.61,0.00000439466887649197,0.0000324776748677333,0.0000303982461798323
109,Sri Lanka,192,0,192,164,8526.015,87428.11756,-0.07,20532600,21128032,59.610396751033,87.519900304651,2710,67.85,9.01,30,3.04,560,0,3628000,6.59051,10.198556,11.202938,11.769991,10.56338,8.571429,8.198121,12.099644,13.854352,14.659686,15.703192,12.751678,64.3,17,2.89993473792895,4.48,0,0.00000908745310495554,0.00000776219952714952
110,Sudan,67,2,69,65,4612.387,122072.66,-1.98,36193783,40813397,44.741605452142,73.168616801597,2549,74.17,1.35,5,0.46,1655,0,3087000,27.623577,31.463962,34.58348,35.783718,37.460765,33.92882,37.875174,39.091305,41.435928,36.710163,31.397605,31.711588,72.3,20,12.7635566583355,0.62,0.0000000490035171539384,0.00000164161782465694,0.000001592614307503
111,Suriname,10,18,25,18,7196.987,3392.950425,0.13,541245,570496,47.482266256182,61.187424778464,2706,61.48,32.98,119,9.83,65,4,328000,70.113251,63.8933,60.452555,44.739756,28.893242,26.115242,26.793824,20.998279,15.384615,13.09431,13.239875,12.374323,60.7,25,5.40439172648246,15.99,0.0000315514920350011,0.0000175286066861117,0.0000315514920350011
112,Sweden,157,84,187,164,1545.797,541018.7498,0.98,9542812,9904896,82.150711595811,94.64026781946,3196,106.87,16.59,61,7.09,391,18,5366000,1.700043,2.058873,1.603216,1.451002,1.476875,2.298182,2.108864,2.537705,2.651876,2.459077,2.520845,2.850529,105.7,68,3.79431136231123,6.63,0.0000084806544157556,0.0000158507469437337,0.0000165574681450467
113,Switzerland,91,51,133,133,436.0778,704478.517,1.26,8008012,8455804,76.108420864005,88.391099023999,3388,96.92,15.72,55,6.49,531,24,2515000,0.914026,1.823779,0.581357,-0.027205,0.714391,-0.586542,0.303689,-0.353518,0.315257,0.37902,0.332118,0.62767,95.7,60,5.59179981248779,6.7,0.00000603136023493449,0.0000107618388505694,0.000015728841396986
114,Tajikistan,2,38,40,39,5291.823,7536.403147,-0.67,7874835,8880268,53.436890371953,86.862830355449,2455,70.11,4.24,17,1.38,901,0,461000,5.482166,6.513158,9.102902,10.42623,11.926606,12.369792,12.191958,10.219922,8.34939,8.227041,8.491762,7.595731,53.3,12,12.7676706877033,1.97,0.00000427915013375722,0.000000225218428092486,0.00000439175934780347
115,Thailand,1676,2,881,896,9454.805,456356.8128,-0.75,67835962,69209810,73.21496966132,84.662790316571,2766,61.39,13.14,48,4.47,1513,0,24971000,1.528057,0.99691,0.677237,-0.257501,-1.383288,-0.702928,-0.547488,-0.918354,0.058314,0.404483,0.025742,0.196892,62.3,26.7,2.02525026474895,7.28,0.000000028897637488096,0.0000242162202150244,0.000012946141594667
116,Togo,40,16,54,54,4753.381,6387.424244,-0.88,6773809,7698474,47.797273854727,81.713398262204,2403,56.65,7.27,24,2.46,40,18,114000,-3.003823,-3.027506,0.29108,-1.201554,-3.646948,-2.109382,-5.524862,3.556901,1.293062,2.042226,-2.145075,-1.083577,57.7,8.3,13.6505915652479,4.34,0.00000207833396592623,0.00000519583491481559,0.00000701437713500104
117,Trinidad and Tobago,61,23,76,75,7225.325,23180.10775,0.28,1344819,1384059,60.929760264856,86.827593999087,2980,85.29,61.8,215,18.84,585,0,636000,7.655502,2.919708,3.683241,1.831502,1.743119,0.543478,1.47668,1.93318,1.844866,3.652515,4.460688,3.571429,85,43.7,2.91786478329054,22.09,0.0000166177886925341,0.0000440732656628077,0.000054188441388698
118,Tunisia,213,0,195,195,1483.828,39802.14307,-1.02,10847002,11433443,64.996946064838,81.567851242735,3457,100.1,17.03,57,6.28,1031,46,3679000,4.914013,5.258885,5.516935,5.66528,4.042778,3.977761,3.676042,5.36855,5.963398,6.908439,8.416656,7.841222,99.7,28,5.40648005780768,6.27,0,0.0000186295589176419,0.0000170552299950242
120,Ukraine,1211,121,1009,1006,2025.144,112190.3286,-1.87,45453806,44487709,66.092007111123,90.774305212732,3062,88.73,23.69,82,7.94,62643,2713,41215000,2.975856,5.260181,7.175399,8.304892,10.618966,14.962878,16.368876,16.821886,18.804411,17.958951,17.899492,17.722222,87.3,37.3,-2.12544797678769,8.95,0.00000271985235292741,0.0000272210016478934,0.0000226129873309502
121,United Arab Emirates,48,433,412,412,5249.535,385605.5069,0.62,9141596,9487203,77.43435455867,91.212545220688,3074,82.34,25.97,88,8.92,1000,62,2297000,0.632349,0.773349,-0.393005,-0.450539,1.226266,1.497065,1.123596,1.056406,1.54549,2.393695,1.903198,3.237797,111.7,50.7,3.78059804874335,10.83,0.000045640427426292,0.00000505944692023561,0.0000434269193986889
122,United States of America,21914,123,18266,18100,5838.157,19479623,0.34,314043885,325084756,83.667646844408,91.226115927491,3778,113.25,55.8,220,19.98,4872,67,8580000,-1.94035,-1.73045,-0.87541,-0.764575,-0.168977,-0.052944,0.317028,0.323056,0.425114,0.592936,0.625638,0.9008,112.7,72.7,3.51570959581015,17.64,0.000000378362866082838,0.0000674101125799944,0.0000556777876105639
123,Uruguay,33,3,33,31,10972.42,64233.96686,1.05,3378975,3436641,60.470785685734,89.793229510449,3158,83.72,9.17,33,2.98,446,22,2656000,6.3125,4.485716,4.087343,3.500605,1.13798,0.088059,0.116939,0.684932,2.097983,2.619808,3.910778,5.06463,83.7,44,1.70661221228331,3.56,0.000000872945413850327,0.00000960239955235359,0.00000902043594312004
124,Vanuatu,1,4,3,3,16346.35,880.046992,0.7,249499,285510,60.902396182266,81.236410233551,2622,64.93,11.67,40,4.05,43,0,68000,6.982326,6.6479,6.318504,6.673797,7.025761,7.374444,7.297581,7.221874,7.147296,6.893705,6.641991,6.392133,63.7,26.7,14.4333243820617,6.24,0.000014010017162271,0.00000350250429056776,0.0000105075128717033
125,Zambia,49,12,60,58,7604.841,25868.16149,0.15,14465150,16853599,60.057025623989,82.858607541882,2232,58.62,3.58,12,1.21,6,40,3498000,7.353272,7.413582,6.732041,6.054314,5.905447,5.780473,5.328316,5.139501,5.009519,4.897033,4.845107,4.817681,59.3,12,16.5117471993032,2.06,0.000000712014092657598,0.00000290739087835186,0.00000344140144784506
126,Zimbabwe,69,6,76,67,7949.676,22040.9023,-0.71,13115150,14236595,48.071184150594,48.835715251345,1862,43.75,5.27,18,1.78,403,24,2064000,-0.179533,1.256732,1.258993,1.263538,1.814882,1.821494,2.014652,1.838235,2.573529,4.395604,5.64663,6.715064,43.3,11,8.55075999893253,4.07,0.000000421449089476803,0.00000484666452898323,0.00000470618149915763
