Pays,Production_MT,Importation_MT,Disponibilite_interieure_MT,Nourriture_MT,distance_France,PIB_US_$_M,Political_stability,pop_2012,pop_2017,Ease_of_doing_business_score,Score_Starting _a_business,Dispo_alim(Kcal/personne/jour)_Total_General,Dispo_proteines_quantite(g/personne/jour)_Total_General,Dispo_alim_quantite(kg/personne/an)_Viande_Volailles,Disp_alim(Kcal/personne/jour)_Viande_Volailles,Dispo_proteines_quantite(g/personne/jour)_Viande_Volailles,Importation_nb_tete,Importation-tonnes,Importation_$USD,January,February,March,April,May,June,July,August,September,October,November,December,Apport_moyen_proteine(g/capita/day),Apport_moyen_proteine_animal(g/capita/day),pop_evol_12-17,part_protein_Volaille/total,volaille_import/nb_hab,volaille_prod/hab,volaille_nourriture/hab
16,Bosnia and Herzegovina,61,10,55,56,1352.463,18080.61088,-0.35,3604972,3351525,65.106471229403,58.684247167259,3274,97.07,18.74,63,6.36,24491,1469,2605000,-0.251309,0.504205,0.70141,1.024494,1.493538,1.44617,1.232061,1.598942,2.442488,2.142776,1.900956,1.727616,97.7,36.3,-7.03048456409648,6.55,0.00000298371636792207,0.0000182006698443246,0.0000167088116603636
17,Botswana,5,3,7,7,8522.764,17405.49671,1.02,2039556,2205080,65.798138032652,76.206211341764,2562,70.35,3.37,11,1.18,872,879,3374000,4.416436,4.196374,4.386677,3.879093,4.086974,4.269708,4.319807,3.853101,2.8,2.421042,1.715079,1.089109,65.6,27.7,8.11568792423449,1.68,0.00000136049485732944,0.0000022674914288824,0.00000317448800043536
18,Brazil,14201,3,9982,9982,9408.406,2063514.689,-0.42,199287299,207833823,54.878221349007,65.18635187753,3250,94.12,47.65,203,15.47,40,2,1425000,6.560869,4.968809,4.035798,3.510827,2.350216,1.120406,-0.666106,-2.022909,-2.140848,-2.140696,-2.317125,-1.868037,94,52.7,4.28854424887358,16.44,0.0000000144346091348183,0.0000683286281078513,0.0000480287561279186
20,Burkina Faso,46,0,46,44,4082.87,14106.95563,-0.93,16571253,19193234,50.585720176102,88.685009264814,2718,78.3,2.17,7,0.73,744,45,233000,2.475197,1.327927,3.356855,-0.367611,-1.760629,-1.57131,2.523452,2.284096,4.628131,0.915267,4.625956,6.029003,78.7,11,15.8224667742385,0.93,0,0.00000239667791264359,0.00000229247452513735
21,Cambodia,28,10,38,37,9947.79,22177.20063,0.09,14780454,16009409,53.157490117677,50.910974375435,2639,65.56,2.22,10,0.7,820,1,1931000,6.525798,5.605752,5.550959,3.807462,3.086153,2.486214,2.652343,2.754489,2.786259,1.880724,1.984689,1.88227,65.3,18.7,8.31473106306477,1.07,0.000000624632676946413,0.00000174897149544996,0.00000231114090470173
22,Cameroon,81,0,82,78,5085.718,35009.2598,-1.1,21485265,24566073,41.725833564465,75.270060397481,2721,71.68,3.18,11,1.07,17,14,379000,-0.726612,-0.725295,-0.635786,0,-0.803571,-0.359712,-0.359066,0.358423,0.536673,0.902527,0.902527,1.358696,71.6,11.3,14.339166866222,1.49,0,0.00000329723028992057,0.00000317511064955315
23,Canada,1417,182,1433,1433,6004.645,1649518.967,1.1,34922030,36732095,80.04017419434,98.232618649676,3501,104.72,38.97,154,13.83,56832,31094,52627000,-3.96992,-4.098331,-3.566542,-2.558801,-1.182259,-0.349378,-0.139518,0.281687,0.861441,0.578039,0.932564,1.50859,103.3,55,5.18316088726801,13.21,0.00000495479498242613,0.0000385766180774606,0.000039012204449542
24,Chad,6,1,7,7,4248.435,10394.02023,-1.29,12784750,15016753,36.008473428851,51.910338407616,2309,78.87,0.41,1,0.14,234,10,292000,-9.009141,-7.574974,-6.695434,-5.642771,-3.86356,-6.16824,-4.116808,-2.4495,-1.866557,-0.157134,0.77109,2.15569,61.7,11,17.4583233931051,0.18,0.0000000665922919555246,0.000000399553751733148,0.000000466146043688672
25,Chile,712,155,672,672,11663.39,277034.6787,0.42,17400347,18470439,71.56660640874,87.209630039066,3020,90.64,39.85,168,13.29,458,0,5480000,2.456544,3.450183,3.743124,4.179165,2.616469,1.321196,0.962566,1.172683,-0.441901,0.845766,1.599466,2.458399,90,47.7,6.14983137979949,14.66,0.00000839178754765926,0.000038548082154409,0.0000363824595614647
26,Colombia,1564,78,1643,1565,8707.677,311883.7304,-0.77,46075718,48909839,69.510851092589,85.305538875547,2928,70.52,33.52,116,10.03,820,38,12113000,4.586337,3.504229,1.45922,0.181111,-0.260488,-1.205443,-2.613773,-0.251853,0.593088,1.092578,1.102987,0.481055,71.3,36.7,6.15100778245062,14.22,0.00000159477114614914,0.0000319772060586828,0.0000319976518426078
27,Costa Rica,133,17,134,131,8919.449,60516.04462,0.61,4688000,4949954,67.266330450031,78.540026241202,3010,80.37,26.52,92,7.93,1408,85,6480000,-0.494335,0.76494,0.72187,0.133394,-0.003264,1.552825,2.179695,1.135679,2.760018,3.768972,4.376569,3.487416,80.3,44.7,5.58775597269625,9.87,0.00000343437534975072,0.0000268689365598145,0.0000264648924010203
28,Croatia,61,24,45,45,1081.762,56214.4324,0.69,4295878,4182857,72.524564011265,82.46323859806,3063,90.69,10.78,38,4.05,8663,3083,5999000,2.502503,3.306613,3.333333,3.524673,2.691924,2.20662,2.716298,3.121853,3.420523,3.219316,2.716298,2.211055,89.7,53,-2.63091735845385,4.47,0.00000573770511399266,0.000014583333831398,0.0000107581970887362
29,Cyprus,25,14,38,30,2954.551,22870.73432,0.54,1135046,1179678,72.289024240238,90.955061145138,3039,92.82,25.06,91,9.57,118,5,311000,0.907029,3.080041,5.358632,3.13248,1.29065,-0.777414,-5.816512,-3.407551,-2.822266,0.495701,0.202593,-4.276642,91.7,46,3.93217543606162,10.31,0.0000118676452387855,0.0000211922236406884,0.0000254306683688261
30,Czechia,163,116,249,234,884.6105,218628.941,1,10581293,10641034,76.727671041604,84.721825744152,3274,86.94,21.97,82,7.5,14401,4399,23398000,3.538928,4.637097,4.435484,3.61809,4.545455,5.386179,5.763397,5.595117,5.696846,7.755102,5.694306,5.555556,86.7,51.7,0.564590735744677,8.63,0.0000109011962559278,0.0000153180602561744,0.0000219903441714405
31,Denmark,173,133,167,166,1027.609,332121.0638,0.87,5610903,5732274,84.532354186107,91.841025786574,3397,115.64,25.36,97,11.23,2942,2943,9861000,2.012072,2.602603,2.424242,2.01005,1.792829,2.38806,4.079602,3.379722,3.692615,3.907816,3.379722,1.982161,115.3,76.7,2.1631277532333,9.71,0.000023201961385656,0.0000301799948851014,0.0000289588390226985
